"VEGOBJEKT-ID";"TYPE-ID";"VERSJON";"FØRSTE FOREKOMST";"STARTDATO";"SLUTTDATO";"SIST MODIFISERT";"FERJE TIL";"ANTALL OPPSTILLINGSFELT (STK)";"LENGDE OPPSTILLINGSFELT, FORFLYTNINGSHEMMEDE (M)";"LENGDE OPPSTILLINGSFELT, TUNGE KJØRETØY (M)";"LENGDE OPPSTILLINGSFELT, PERSONBIL/KOMBINERT (M)";"ANTALL OPPSTILLINGSPL. SMÅ KJT. (STK)";"AREAL (M2)";"ETABLERINGSÅR";"TILLEGGSINFORMASJON";"PROSJEKTREFERANSE";"PROSJEKTINTERNOBJEKT_ID";"EIER";"VEDLIKEHOLDSANSVARLIG";"GEOMETRI, PUNKT";"UTGÅR_GEOMETRI, LINJE";"GEOMETRI, FLATE";"UTGÅR_HAR PARKERINGSPLASS";"LOK.KOMMUNE";"LOK.KOMMUNENUMMER";"LOK.FYLKE";"LOK.FYLKESNUMMER";"LOK.RIKSVEGRUTE";"LOK.KONTRAKTSOMRÅDE";"LOK.VEGSYSTEMREFERANSE";"LOK.VEGKATEGORI";"LOK.FASE";"LOK.VEGNUMMER";"LOK.STREKNING";"LOK.DELSTREKNING";"FRA METER";"TIL METER";"VEGLENKESEKVENSID";"STARTPOSISJON";"SLUTTPOSISJON";"STREKNING.RETNING";"SIDEPOSISJON";"KJØREFELT";"TYPEVEG";"LENGDE";"MOR";"BARN";"GEOMETRI"
"114847031";"41";"4";"1";"2021-09-13";"";"2022-12-05T09:50:15";"Rutledal-Rysjedalsvika-Losna-Krakhella";"4";"";"";"";"";"";"";"";"";"";"";"";"POINT (-22252.5419404501 6814412.99384532)";"";"POLYGON ((-22282.711294423 6814422.87681573, -22282.5402039605 6814417.40192093, -22276.5520377751 6814417.05974, -22277.0653091624 6814411.24266428, -22264.4046149418 6814410.04503104, -22258.0742678315 6814409.01848827, -22252.2571921085 6814408.33412642, -22231.3841556907 6814401.83268885, -22228.8177987541 6814413.63793075, -22240.1097692752 6814417.57301139, -22250.7173779465 6814420.31045879, -22265.9444291038 6814423.21899665, -22282.711294423 6814422.87681573))";"Ja";"Hyllestad";"4637";"Vestland";"46";"";"1455 ELEKTRO,E1455 Elektrokontrakt Fjordane 2018-2023,1406 HAFS 2017-2022,4607 Sunnfjord sør 2022,4607 Sunnfjord sør 2023,4611 Tunnel 2021-2025,E4654 Fjordane 2023-2028";"FV57 S12D1 m108";"Fylkesveg";"Eksisterende";"57";"12";"1";"108,175";"108,175";"384115";"0,01113856";"0,01113856";"WITH";"";"";"enkelBilveg";"0";"64:119347651";"297:114847032";"POINT Z(-22255.665 6814399.015 3.464)"
"114847035";"41";"1";"1";"2006-09-20";"";"2021-08-17T09:44:18";"Rutledal-Rysjedalsvika-Losna-Krakhella";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"POLYGON ((-36201.0915044386 6818227.41542902, -36194.5900668659 6818232.71923335, -36211.5280226475 6818258.21171226, -36219.3981839198 6818268.81932093, -36220.0825457695 6818259.75152642, -36220.5958171569 6818255.3031744, -36201.0915044386 6818227.41542902))";"Ja";"Solund";"4636";"Vestland";"46";"";"1455 ELEKTRO,E1455 Elektrokontrakt Fjordane 2018-2023,1406 HAFS 2017-2022,4607 Sunnfjord sør 2022,4607 Sunnfjord sør 2023,4611 Tunnel 2021-2025,E4654 Fjordane 2023-2028,4660 Drift og vedlikehold av ferjekaier Vestland 2021-2026";"FV606 S2D1 m6";"Fylkesveg";"Eksisterende";"606";"2";"1";"5,935";"5,935";"384140";"0,00124866";"0,00124866";"WITH";"";"";"enkelBilveg";"0";"64:119347653";"297:114847036";"POINT Z(-36190.942 6818230.136 1.448)"
"114847037";"41";"2";"1";"2016-05-25";"";"2021-05-06T12:41:32";"Daløy-Haldorsneset";"3";"";"";"";"";"";"";"";"";"";"";"";"POINT Z(-52496.699683196 6812136.60823499 3.606)";"";"POLYGON ((-52503.4462181034 6812150.96656498, -52509.0922033639 6812147.03148434, -52511.6585603005 6812144.29403694, -52498.9978660799 6812128.04044301, -52490.2722524954 6812133.68642827, -52496.9447805306 6812143.60967509, -52503.4462181034 6812150.96656498))";"Ja";"Solund";"4636";"Vestland";"46";"";"1455 ELEKTRO,E1455 Elektrokontrakt Fjordane 2018-2023,1406 HAFS 2017-2022,4607 Sunnfjord sør 2022,4607 Sunnfjord sør 2023,4611 Tunnel 2021-2025,E4654 Fjordane 2023-2028,4660 Drift og vedlikehold av ferjekaier Vestland 2021-2026";"FV606 S4D1 m10099";"Fylkesveg";"Eksisterende";"606";"4";"1";"10098,652";"10098,652";"384141";"0,99141557";"0,99141557";"WITH";"";"";"enkelBilveg";"0";"";"297:114847038";"POINT Z(-52497.527 6812135.943 2.65)"
"114847041";"41";"1";"1";"2006-09-20";"";"2022-12-06T09:24:40";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Ja";"Askvoll";"4645";"Vestland";"46";"";"1455 ELEKTRO,E4654 Fjordane 2023-2028";"FV609 S2D10 m0";"Fylkesveg";"Eksisterende";"609";"2";"10";"0";"0";"384536";"0";"0";"WITH";"";"";"enkelBilveg";"0";"";"297:114847042";"POINT Z(-17819.64 6842304.61 1.796)"
"114847043";"41";"2";"1";"2023-07-21";"";"2023-07-21T15:00:49";"1 Askvoll _ 1 Værlandet _ 2 Gjervik";"3";"";"";"";"";"244";"";"";"";"";"";"";"";"";"POLYGON ((-29814.736015186412 6836335.512398279, -29813.041058218456 6836329.897853251, -29794.396531501552 6836329.68598363, -29784.035495971097 6836329.431733286, -29783.80915372644 6836338.282396425, -29804.460338526405 6836338.160768577, -29810.9223619923 6836337.207355277, -29814.736015186412 6836335.512398279))";"Ja";"Fjaler";"4646";"Vestland";"46";"";"1455 ELEKTRO,E1455 Elektrokontrakt Fjordane 2018-2023,1406 HAFS 2017-2022,4607 Sunnfjord sør 2022,4607 Sunnfjord sør 2023,4611 Tunnel 2021-2025,E4654 Fjordane 2023-2028,4660 Drift og vedlikehold av ferjekaier Vestland 2021-2026";"FV5655 S3D10 m361";"Fylkesveg";"Eksisterende";"5655";"3";"10";"361,151";"361,151";"384226";"0,9102657";"0,9102657";"WITH";"";"";"enkelBilveg";"0";"64:119347667";"297:114847044";"POINT Z(-29799.156 6836335.865 2.146)"
"114847045";"41";"3";"1";"2021-09-13";"";"2021-09-13T10:27:11";"Askvoll-Gjervik-Fure-Værlandet";"1";"";"";"";"";"";"";"";"";"";"";"";"POINT (-32626.821309832 6842458.54586865)";"";"POLYGON ((-32610.9841918848 6842459.73962126, -32642.4992607647 6842460.45587282, -32642.3400937501 6842457.90920059, -32611.1433588993 6842456.87461499, -32610.9841918848 6842459.73962126))";"Ja";"Askvoll";"4645";"Vestland";"46";"";"1455 ELEKTRO,E1455 Elektrokontrakt Fjordane 2018-2023,1406 HAFS 2017-2022,4607 Sunnfjord sør 2022,4607 Sunnfjord sør 2023,4611 Tunnel 2021-2025,E4654 Fjordane 2023-2028,4660 Drift og vedlikehold av ferjekaier Vestland 2021-2026";"FV5660 S1D1 m37";"Fylkesveg";"Eksisterende";"5660";"1";"1";"37";"37";"384302";"0,00429244";"0,00429244";"WITH";"";"";"enkelBilveg";"0";"64:119347655";"297:114847046";"POINT Z(-32627.167 6842456.085 5.679)"
"114847047";"41";"2";"1";"2021-09-13";"";"2021-09-13T10:27:11";"Askvoll-Gjervik-Fure-Værlandet";"3";"";"";"";"";"";"";"";"";"";"";"";"POINT (-48101.696011587 6839846.28755308)";"";"POLYGON ((-48141.2477287636 6839857.52422618, -48143.7901642525 6839848.73163678, -48135.1035096652 6839846.93074497, -48129.7008342512 6839846.2951361, -48110.3147636478 6839843.96457024, -48091.4583671046 6839841.31619994, -48070.8010787567 6839838.66782963, -48057.7710968758 6839839.93904738, -48058.6185753721 6839842.58741768, -48061.1610108611 6839842.37554806, -48061.6906849213 6839845.12985317, -48069.8476654484 6839844.81204873, -48070.0595350724 6839847.88415828, -48111.2681769561 6839852.75715964, -48141.2477287636 6839857.52422618))";"Ja";"Askvoll";"4645";"Vestland";"46";"";"1455 ELEKTRO,E1455 Elektrokontrakt Fjordane 2018-2023,1406 HAFS 2017-2022,4607 Sunnfjord sør 2022,4607 Sunnfjord sør 2023,4611 Tunnel 2021-2025,E4654 Fjordane 2023-2028";"FV5662 S2D1 m74";"Fylkesveg";"Eksisterende";"5662";"2";"1";"73,972";"73,972";"384308";"0,26714801";"0,26714801";"WITH";"";"";"enkelBilveg";"0";"64:119347670";"297:114847048";"POINT Z(-48101.158 6839853.092 4.685)"
"134850337";"41";"1";"1";"2007-06-06";"";"2024-01-18T10:16:54";"";"3";"";"";"";"60";"900";"";"";"";"";"";"";"";"";"";"Ja";"Bømlo";"4613";"Vestland";"46";"";"1208 Sunnhordland 2019-2024,E1260 Hordaland vest 2016-2022,4611 Tunnel 2021-2025,E4651 Bergen,4601 Sunnhordland 2024-2029";"FV542 S1D20 m6768";"Fylkesveg";"Eksisterende";"542";"1";"20";"6768,317";"6768,317";"805689";"1";"1";"WITH";"";"";"enkelBilveg";"0";"";"";"POINT Z(-39733.329 6657069.91 2.005)"
"136643389";"41";"2";"1";"2012-04-20";"";"2022-09-13T14:29:55";"";"4";"";"";"";"";"900";"";"N/A";"N/A";"";"Fylkeskommune";"Fylkeskommune";"";"";"POLYGON ((-55471.1635253205 6597054.87029532, -55456.6949489949 6597048.99243619, -55436.1224420319 6597057.58315338, -55421.6538657063 6597071.14744369, -55405.8288603502 6597110.70995708, -55440.8699436387 6597125.1785334, -55471.1635253205 6597054.87029532))";"Ja";"Karmøy";"1149";"Rogaland";"11";"";"1107 Haugalandet 2019-2024 (-2022),1154 Elektro Drift Nord-Rogaland 2022-2023,1107 Haugalandet 2019-2024 (2022-),Drift og Vedlikehold av ferjekaier Rogaland 2018-2023,1107 Haugalandet 2024-2029,1152 Drift og vedlikehold av ferjekaier i Rogaland 2023-2028";"FV547 S3D1 m9438";"Fylkesveg";"Eksisterende";"547";"3";"1";"9437,729";"9437,729";"319809";"0,00383506";"0,00383506";"WITH";"";"";"enkelBilveg";"0";"64:119347958";"";"POINT Z(-55458.659 6597044.129 1.56)"
"136764370";"41";"1";"1";"2007-07-04";"";"2024-01-18T10:16:54";"Langevåg-Buavåg";"5";"";"";"";"";"975";"";"";"";"";"";"";"";"";"POLYGON ((-49769.5886979855 6648237.03141399, -49760.3517144588 6648229.19397342, -49712.0674823873 6648272.92969088, -49720.1848315471 6648282.09669726, -49769.6586751335 6648237.24134544, -49769.5886979855 6648237.03141399))";"";"Bømlo";"4613";"Vestland";"46";"";"1208 Sunnhordland 2019-2024,E1260 Hordaland vest 2016-2022,4611 Tunnel 2021-2025,E4651 Bergen,4660 Drift og vedlikehold av ferjekaier Vestland 2021-2026,4601 Sunnhordland 2024-2029";"FV541 S3D1 m0";"Fylkesveg";"Eksisterende";"541";"3";"1";"0";"0";"805685";"0";"0";"WITH";"";"";"enkelBilveg";"0";"";"";"POINT Z(-49709.41 6648302.2 1.886)"
